ncr_id,date,steel_grade,defect_type,temperature_celsius,environment_conditions,symptoms_observed,root_cause,test_standard_used,severity,recommended_fix
QA-MET-012,2024-11-06,316,Sensitization,594,Prolonged service at elevated temperature,Intergranular corrosion visible at grain boundaries,Carbon content exceeding 0.03% in non-L grade,ASTM A262,Moderate,Replace with L-grade (low carbon) variant
QA-MET-013,2024-11-08,347,SCC,94,Chlorinated cleaning solution residue,Brittle fracture with minimal plastic deformation,Chloride concentration exceeding threshold limit for grade,ASTM G36,Minor,Apply protective coating or thermal spray barrier
QA-MET-014,2024-11-08,321,SCC,146,Chloride-containing process stream,Beach marks visible on fracture surface,Operating temperature in susceptible range with inadequate material selection,ASTM G36,Critical,Apply protective coating or thermal spray barrier
QA-MET-015,2024-11-13,321,SCC,113,Chlorinated cleaning solution residue,Beach marks visible on fracture surface,Residual tensile stress from cold working combined with chloride exposure,ASTM G36,Moderate,Reduce chloride concentration below 10 ppm threshold
QA-MET-016,2024-11-12,316,Pitting,44,Stagnant chloride solution,Localized hemispherical pits with undercut morphology,PREN value below minimum for service conditions,ASTM G48,Moderate,Improve surface finish to Ra < 0.5 μm
QA-MET-017,2024-11-14,347,Pitting,40,Acidic process fluid with halide contamination,Perforation with minimal surrounding corrosion,PREN value below minimum for service conditions,ASTM G48,Moderate,Implement periodic passivation treatment
QA-MET-018,2024-11-14,321,SCC,171,Marine atmospheric exposure,Beach marks visible on fracture surface,Stress concentration at geometric discontinuity,ASTM G36,Moderate,Reduce chloride concentration below 10 ppm threshold
QA-MET-019,2024-11-18,2205,Sensitization,746,Post-weld heat affected zone,Intergranular corrosion visible at grain boundaries,Slow cooling rate through critical temperature range,ASTM A262,Minor,Specify maximum interpass temperature of 150°C
QA-MET-020,2024-11-19,316,Pitting,69,Biofilm-covered surface in cooling water,Localized hemispherical pits with undercut morphology,Stagnant conditions preventing repassivation,ASTM G48,Moderate,Apply electropolishing to remove MnS inclusions
QA-MET-021,2024-11-21,304,Sensitization,797,Improper heat treatment cycle,Chromium-depleted zones detected via EDS analysis,Improper thermal processing during fabrication,ASTM A262,Minor,Specify maximum interpass temperature of 150°C
QA-MET-022,2024-11-25,347,PASCC,106,H2S/SO2 atmosphere during maintenance,Sulfide deposits in crack opening,Residual stress concentration at weld toe,ASTM G35,Moderate,Apply alkaline passivation wash before shutdown exposure
QA-MET-023,2024-11-23,316,Sensitization,535,Slow cooling from annealing,Chromium-depleted zones detected via EDS analysis,Extended exposure in 450-815°C sensitization range,ASTM A262,Minor,Replace with L-grade (low carbon) variant
QA-MET-024,2024-11-27,321,SCC,101,Evaporative concentration of chlorides under insulation,Crack propagation perpendicular to tensile stress,Operating temperature in susceptible range with inadequate material selection,ASTM G36,Moderate,Apply protective coating or thermal spray barrier
QA-MET-025,2024-11-27,304,SCC,156,Chloride-containing process stream,Transgranular branching crack pattern,Evaporative chloride concentration under thermal insulation,ASTM G36,Minor,Upgrade to duplex 2205 or higher nickel alloy
QA-MET-026,2024-11-30,347,PASCC,83,H2S/SO2 atmosphere during maintenance,Intergranular cracking in sensitized HAZ,Sulfur compound oxidation forming H2SO4 with condensed moisture,ASTM G35,Minor,Solution anneal to eliminate sensitization
QA-MET-027,2024-12-01,347,SCC,71,Brackish water cooling system,Brittle fracture with minimal plastic deformation,Stress concentration at geometric discontinuity,ASTM G36,Moderate,Apply protective coating or thermal spray barrier
QA-MET-028,2024-12-05,2205,Pitting,71,Crevice geometry under gasket,Multiple pit colonies in preferential pattern,Breakdown of passive film at MnS inclusion sites,ASTM G48,Minor,Implement periodic passivation treatment
QA-MET-029,2024-12-07,321,SCC,99,Brackish water cooling system,Multiple crack initiation sites at stress risers,Residual tensile stress from cold working combined with chloride exposure,ASTM G36,Moderate,Reduce chloride concentration below 10 ppm threshold
QA-MET-030,2024-12-07,347,Pitting,75,Acidic process fluid with halide contamination,Multiple pit colonies in preferential pattern,PREN value below minimum for service conditions,ASTM G48,Critical,Upgrade to 316L or higher PREN alloy
QA-MET-031,2024-12-09,2205,Sensitization,709,Improper heat treatment cycle,Chromium-depleted zones detected via EDS analysis,Slow cooling rate through critical temperature range,ASTM A262,Minor,Re-weld with proper heat input control and rapid cooling
QA-MET-032,2024-12-11,347,Pitting,58,Crevice geometry under gasket,Localized hemispherical pits with undercut morphology,Breakdown of passive film at MnS inclusion sites,ASTM G48,Critical,Upgrade to 316L or higher PREN alloy
QA-MET-033,2024-12-13,321,PASCC,103,Refinery hydroprocessing unit shutdown,Rapid crack propagation during shutdown cooling,Sulfur compound oxidation forming H2SO4 with condensed moisture,ASTM G35,Moderate,Solution anneal to eliminate sensitization
QA-MET-034,2024-12-17,316,Pitting,30,Acidic process fluid with halide contamination,Pit depth exceeding wall thickness allowance,PREN value below minimum for service conditions,ASTM G48,Critical,Upgrade to 316L or higher PREN alloy
QA-MET-035,2024-12-17,304,Pitting,62,Crevice geometry under gasket,Multiple pit colonies in preferential pattern,Breakdown of passive film at MnS inclusion sites,ASTM G48,Moderate,Eliminate stagnant zones through design modification
QA-MET-036,2024-12-21,321,SCC,98,Chlorinated cleaning solution residue,Crack propagation perpendicular to tensile stress,Operating temperature in susceptible range with inadequate material selection,ASTM G36,Minor,Implement stress relief annealing post-fabrication
QA-MET-037,2024-12-21,316,SCC,197,Evaporative concentration of chlorides under insulation,Beach marks visible on fracture surface,Stress concentration at geometric discontinuity,ASTM G36,Moderate,Reduce chloride concentration below 10 ppm threshold
QA-MET-038,2024-12-25,321,PASCC,24,H2S/SO2 atmosphere during maintenance,Intergranular cracking in sensitized HAZ,Residual stress concentration at weld toe,ASTM G35,Minor,Replace with stabilized grade 321 or 347
QA-MET-039,2024-12-22,316,Sensitization,518,Furnace cooldown exposure,Ditched grain boundaries on etched sample,Slow cooling rate through critical temperature range,ASTM A262,Moderate,Apply stabilization anneal for Ti/Nb grades
QA-MET-040,2024-12-27,316,SCC,117,Marine atmospheric exposure,Beach marks visible on fracture surface,Evaporative chloride concentration under thermal insulation,ASTM G36,Minor,Upgrade to duplex 2205 or higher nickel alloy
QA-MET-041,2024-12-30,321,SCC,75,Brackish water cooling system,Multiple crack initiation sites at stress risers,Chloride concentration exceeding threshold limit for grade,ASTM G36,Critical,Apply protective coating or thermal spray barrier
QA-MET-042,2024-12-28,316,Sensitization,685,Improper heat treatment cycle,Chromium-depleted zones detected via EDS analysis,Extended exposure in 450-815°C sensitization range,ASTM A262,Minor,Re-weld with proper heat input control and rapid cooling
QA-MET-043,2025-01-02,304,Sensitization,765,Post-weld heat affected zone,Chromium-depleted zones detected via EDS analysis,Carbon content exceeding 0.03% in non-L grade,ASTM A262,Minor,Solution anneal at 1040-1120°C followed by rapid quench
QA-MET-044,2024-12-31,347,SCC,125,Chloride-containing process stream,Crack propagation perpendicular to tensile stress,Stress concentration at geometric discontinuity,ASTM G36,Critical,Implement stress relief annealing post-fabrication
QA-MET-045,2025-01-05,321,Pitting,37,Biofilm-covered surface in cooling water,Pit depth exceeding wall thickness allowance,Breakdown of passive film at MnS inclusion sites,ASTM G48,Critical,Apply electropolishing to remove MnS inclusions
QA-MET-046,2025-01-06,2205,Sensitization,700,Slow cooling from annealing,Failed Strauss test with grain dropping,Slow cooling rate through critical temperature range,ASTM A262,Moderate,Replace with L-grade (low carbon) variant
QA-MET-047,2025-01-09,347,PASCC,77,FCC regenerator flue gas exposure,Rapid crack propagation during shutdown cooling,Sensitized microstructure exposed to polythionic acid,ASTM G35,Critical,Solution anneal to eliminate sensitization
QA-MET-048,2025-01-08,321,PASCC,25,Refinery hydroprocessing unit shutdown,Intergranular cracking in sensitized HAZ,Sulfur compound oxidation forming H2SO4 with condensed moisture,ASTM G35,Minor,Solution anneal to eliminate sensitization
QA-MET-049,2025-01-11,304,Pitting,76,Biofilm-covered surface in cooling water,Perforation with minimal surrounding corrosion,PREN value below minimum for service conditions,ASTM G48,Minor,Eliminate stagnant zones through design modification
QA-MET-050,2025-01-15,304,SCC,126,Brackish water cooling system,Crack propagation perpendicular to tensile stress,Chloride concentration exceeding threshold limit for grade,ASTM G36,Minor,Implement stress relief annealing post-fabrication
